,Station,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,Aksel Moellers Have,55.686050699999996,12.5329471,8,53,0,94,27,37,47,3,69,13
1,Amager Strand,55.6561353,12.6318585,11,3,0,17,4,20,11,3,9,4
2,Amagerbro,55.6633965,12.602894500000001,4,42,0,67,15,28,28,16,61,12
3,Bella Center,55.6380721,12.582932099999999,4,3,0,34,5,11,43,4,73,11
4,Christianshavn,55.67237370000001,12.588578199999999,49,14,0,139,73,63,52,16,63,54
5,DR Byen,55.6557655,12.5889939,3,43,0,15,8,13,30,11,13,4
6,Enghave Plads,55.6665336,12.544431610370712,28,10,1,133,62,39,44,3,83,23
7,Fasanvej,55.681608600000004,12.5235021,22,61,1,94,21,36,41,9,68,13
8,Femoeren,55.6451882,12.638338000000001,5,4,0,10,6,18,11,0,9,6
9,Flintholm,55.685874399999996,12.499489599999999,4,5,1,38,5,17,28,9,47,14
10,Forum,55.68128215,12.552443905778306,20,31,0,131,65,40,48,4,72,34
11,Frederiksberg,55.67801600000001,12.5326186,27,65,1,116,27,45,35,8,71,10
12,Frederiksberg Allee,55.6735083,12.5406118,34,23,1,164,54,44,38,2,85,20
13,Gammel Strand,55.677662100000006,12.5785063,70,52,1,244,173,91,80,14,112,71
14,Islands Brygge,55.6634101,12.5852115,6,43,2,67,17,35,38,2,33,21
15,Kastrup,55.635589100000004,12.647038199999999,8,4,0,44,11,9,20,0,49,56
16,Koebenhavn H†,55.67228710000001,12.5645166,54,33,1,132,105,68,65,11,72,91
17,Kongens Nytorv,55.68041905,12.58596322328592,57,56,0,180,116,79,66,1,111,68
18,Lergravsparken,55.662236,12.6170475,6,9,0,56,10,29,36,9,60,11
19,Lindevang,55.683512,12.512880000000001,0,42,1,47,9,16,38,8,43,12
20,Lufthavnen†,55.6308333,12.6491667,6,3,0,41,11,5,19,0,48,60
21,Marmorkirken,55.68497425,12.589551944626178,45,34,0,180,86,65,65,10,94,61
22,Nordhavn,55.704972399999996,12.5910174,12,5,1,92,22,41,49,18,51,20
23,Noerrebro,55.7010822,12.5376485,7,15,0,87,27,47,31,4,70,16
24,Noerrebros Runddel,55.693528,12.548934800000001,17,33,0,145,77,49,40,6,79,14
25,Noerreport,55.683358999999996,12.571630099999998,58,61,0,62,45,80,73,14,119,61
26,Nuuks Plads,55.688477899999995,12.542529400000001,11,18,0,137,45,40,40,8,78,18
27,Orientkaj,55.7118379,12.595177699999999,7,5,0,20,9,29,37,8,12,8
28,Oerestad,55.628764600000004,12.5793032,3,4,1,27,4,9,44,4,72,10
29,Oeresund,55.66166670000001,12.628611099999999,4,5,0,23,4,25,21,4,18,6
30,Oesterport,55.6931925,12.5884166,22,12,0,76,11,47,50,15,49,35
31,Poul Henningsens Plads,55.70850215,12.576996403267238,6,9,1,96,23,53,44,15,79,11
32,Raadhuspladsen,55.6760494,12.568943957491774,66,53,1,189,135,83,78,10,106,92
33,Skjolds Plads,55.7034994,12.5487701,8,45,0,58,27,49,29,2,67,16
34,Sundby,55.645222,12.58575,4,1,1,11,5,7,15,1,6,7
35,Trianglen,55.69933960000001,12.577446227399236,9,16,1,117,22,49,49,13,73,21
36,Vanloese†,55.68562489999999,12.488809300000002,4,5,1,38,5,15,33,6,33,13
37,Vestamager,55.6196875,12.5754564,4,1,1,11,6,4,14,0,3,4
38,Vibenshus Runddel,55.7064085,12.5629774,9,43,1,44,14,44,42,10,51,8
39,Enghave Brygge,55.6549319,12.5579695,5,3,1,32,6,16,36,6,47,6
40,Havneholmen,55.661530400000004,12.564045539934066,16,8,2,50,25,35,37,10,46,26
41,Mozarts Plads,55.64897120000001,12.5343368,13,5,0,28,5,14,33,3,17,11
